Ligands HGNC,Receptors HGNC,Supports,id_cp_interaction,partner_a,partner_b,protein_name_a,protein_name_b,annotation_strategy,source,is_ppi,curator,reactome_complex,reactome_reaction,reactome_pathway,complexPortal_complex,comments,version,interactors,classification,directionality,modulatory_effect
CADM1,CADM1,<a target='_blank' href='https://www.ncbi.nlm.nih.gov/pubmed/24503895'>24503895</a>,,Q9BY67,Q9BY67,CADM1_HUMAN,CADM1_HUMAN,curated,PMID:24503895,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1,CADM1-CADM1,Adhesion by CADM,Adhesion-Adhesion,
DSC3,DSG2,<a target='_blank' href='https://www.ncbi.nlm.nih.gov/pubmed/27298358'>27298358</a>,,Q08554,Q14126,DSC1_HUMAN,DSG2_HUMAN,curated,PMID:27298358,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1,DSC1-DSG2,Adhesion by Desmosome,Adhesion-Adhesion,
DSC3,DSG2,<a target='_blank' href='https://www.ncbi.nlm.nih.gov/pubmed/27298358'>27298358</a>,,Q02487,Q14126,DSC2_HUMAN,DSG2_HUMAN,curated,PMID:27298358,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1,DSC2-DSG2,Adhesion by Desmosome,Adhesion-Adhesion,
DSG1,DSC3,<a target='_blank' href='https://www.ncbi.nlm.nih.gov/pubmed/27298358'>27298358</a>,,Q02413,Q08554,DSG1_HUMAN,DSC1_HUMAN,curated,PMID:27298358,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1,DSG1-DSC1,Adhesion by Desmosome,Adhesion-Adhesion,
DSG1,DSC3,<a target='_blank' href='https://www.ncbi.nlm.nih.gov/pubmed/27298358'>27298358</a>,,Q02413,Q02487,DSG1_HUMAN,DSC2_HUMAN,curated,PMID:27298358,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1,DSG1-DSC2,Adhesion by Desmosome,Adhesion-Adhesion,
DSG1,DSC3,<a target='_blank' href='https://www.ncbi.nlm.nih.gov/pubmed/27298358'>27298358</a>,,Q02413,Q14574,DSG1_HUMAN,DSC3_HUMAN,curated,PMID:27298358,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1,DSG1-DSC3,Adhesion by Desmosome,Adhesion-Adhesion,
DSG2,DSC3,<a target='_blank' href='https://www.ncbi.nlm.nih.gov/pubmed/27298358'>27298358</a>,,Q14126,Q14574,DSG2_HUMAN,DSC3_HUMAN,curated,PMID:27298358,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1,DSG2-DSC3,Adhesion by Desmosome,Adhesion-Adhesion,
ICAM3,CD209,<a target='_blank' href='https://www.ncbi.nlm.nih.gov/pubmed/15795245'>15795245</a>,,P32942,Q9NNX6,ICAM3_HUMAN,CD209_HUMAN,curated,PMID:15795245,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1,ICAM3-CD209,Adhesion by ICAM,Ligand-Receptor,
JAM2,JAM3,"<a target='_blank' href='https://www.ncbi.nlm.nih.gov/pubmed/16093349'>16093349</a>, <a target='_blank' href='https://www.ncbi.nlm.nih.gov/pubmed/11590146'>11590146</a>",,P57087,Q9BX67,JAM2_HUMAN,JAM3_HUMAN,curated,PMC1237098;PMID:11590146,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1,JAM2-JAM3,Adhesion by JAM,Adhesion-Adhesion,
JAM3,JAM3,<a target='_blank' href='https://www.ncbi.nlm.nih.gov/pubmed/16118203'>16118203</a>,,Q9BX67,Q9BX67,JAM3_HUMAN,JAM3_HUMAN,curated,PMID:16118203,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1,JAM3-JAM3,Adhesion by JAM,Adhesion-Adhesion,
L1CAM,L1CAM,<a target='_blank' href='https://www.ncbi.nlm.nih.gov/pubmed/18701456'>18701456</a>,,P32004,P32004,L1CAM_HUMAN,L1CAM_HUMAN,curated,PMID:18701456,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1,L1CAM-L1CAM,Adhesion by L1CAM,Adhesion-Adhesion,
NECTIN1,NECTIN3,<a target='_blank' href='https://www.ncbi.nlm.nih.gov/pubmed/12740392'>12740392</a>,,Q15223,Q9NQS3,PVRL1_HUMAN,PVRL3_HUMAN,curated,PMID:12740392,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1,NECTIN1-NECTIN3,Adhesion by Nectin,Adhesion-Adhesion,
NECTIN1,NECTIN4,<a target='_blank' href='https://www.ncbi.nlm.nih.gov/pubmed/22902367'>22902367</a>,,Q15223,Q96NY8,PVRL1_HUMAN,PVRL4_HUMAN,curated,PMID:22902367,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1,NECTIN1-NECTIN4,Adhesion by Nectin,Adhesion-Adhesion,
