Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Ligand detection rate,Ligand average expression value,Ligand derived specificity of average expression value,Receptor detection rate,Receptor average expression value,Receptor derived specificity of average expression value,Edge average expression weight,Edge average expression derived specificity
Cancer Cell,Clcf1,Lifr,Cancer Cell,0.4,0.2474161,1.0,0.4,0.2896806200000001,1.0,0.07167164924598203,1.0
Cancer Cell,Plat,Lrp1,Cancer Cell,0.6,0.4923067,1.0,0.4,0.19375896,1.0,0.09538883419303197,1.0
Cancer Cell,Efnb1,Ephb3,Cancer Cell,0.4,0.2474161,1.0,0.4,0.19119589999999997,1.0,0.04730494391399,1.0
Cancer Cell,Efnb1,Erbb2,Cancer Cell,0.4,0.2474161,1.0,0.4,0.29469509999999993,1.0,0.07291231233111001,1.0
Cancer Cell,Lrpap1,Lrp1,Cancer Cell,0.4,0.19375896,1.0,0.4,0.19375896,1.0,0.03754253458028159,1.0
Cancer Cell,Vegfa,Gpc1,Cancer Cell,0.4,0.26477368,1.0,0.4,0.2474161037309284,1.0,0.06550927227609965,1.0
Cancer Cell,Inhba,Bambi,Cancer Cell,0.6,0.6117163999999999,1.0,0.8,0.84799434,1.0,0.5187320448851759,1.0
Cancer Cell,Rspo3,Sdc4,Cancer Cell,0.4,0.3908278,1.0,1.0,1.9794049999999999,0.8266157229229849,0.7736065014589999,0.8266157229229849
Cancer Cell,Fn1,Itgb8,Cancer Cell,1.0,1.76948390628201,0.8099555155756615,0.4,0.23784854,1.0,0.4208691636626729,0.8099555155756615
Cancer Cell,Serpine2,Lrp1,Cancer Cell,0.8,1.224107223150293,0.6631467320519174,0.4,0.19375896,1.0,0.2371817424860888,0.6631467320519174
Cancer Cell,Adam9,Itgb1,Cancer Cell,0.6,0.29689508,1.0,1.0,1.05307504,0.5704933045923432,0.3126527982468031,0.5704933045923432
Cancer Cell,Lgals3bp,Itgb1,Cancer Cell,0.4,0.40917854,1.0,1.0,1.05307504,0.5704933045923432,0.4308957073776415,0.5704933045923432
Cancer Cell,Cdh1,Igf1r,Cancer Cell,0.8,0.67700888,1.0,0.8,0.4774245199999999,0.5348643395355066,0.3232206395697376,0.5348643395355066
Cancer Cell,Ccl5,Sdc4,Cancer Cell,0.6,1.16965274,0.6448561090199625,1.0,1.9794049999999999,0.8266157229229849,2.3152164818197005,0.5330481987388396
Cancer Cell,Ccl5,Sdc1,Cancer Cell,0.6,1.16965274,0.6448561090199625,1.0,1.74721938,0.8079987829098388,2.043639935198101,0.521042951240104
Cancer Cell,Jag1,Notch3,Cancer Cell,0.4,0.449238,0.5047718175679142,0.4,0.3124028799999999,1.0,0.14034324500544001,0.5047718175679142
Cancer Cell,Hbegf,Cd82,Cancer Cell,1.0,1.26395532,0.4962593365817796,0.8,1.2373341999999998,1.0,1.5639351447079441,0.4962593365817796
Cancer Cell,Hbegf,Erbb2,Cancer Cell,1.0,1.26395532,0.4962593365817796,0.4,0.29469509999999993,1.0,0.37248143942293205,0.4962593365817796
Cancer Cell,Ecm1,Itgb4,Cancer Cell,0.6,0.58533538,0.4781454970639163,0.4,0.17925234,1.0,0.1049227365497892,0.4781454970639163
Cancer Cell,Fn1,Itgb1,Cancer Cell,1.0,1.76948390628201,0.8099555155756615,1.0,1.05307504,0.5704933045923432,1.8633993353872842,0.4620741986535542
Cancer Cell,Rspo3,Lrp6,Cancer Cell,0.4,0.3908278,1.0,0.4,0.3474412,0.4555857247327095,0.13578967982536,0.4555857247327095
Cancer Cell,Cxcl10,Sdc4,Cancer Cell,0.6,1.09403638,0.5347916809790378,1.0,1.9794049999999999,0.8266157229229849,2.1655410807538997,0.4420672119856857
Cancer Cell,Ptn,Plxnb2,Cancer Cell,0.8,1.43604044,0.4288049893244599,0.4,0.23784854,1.0,0.3415601220349576,0.4288049893244599
