Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Ligand detection rate,Ligand average expression value,Ligand derived specificity of average expression value,Receptor detection rate,Receptor average expression value,Receptor derived specificity of average expression value,Edge average expression weight,Edge average expression derived specificity
Cancer Cell,Vegfa,Kdr,Endothelial Cells,0.4,0.26477368,1.0,1.0,1.6496689999999998,1.0,0.43678893191192003,1.0
Cancer Cell,Cdh1,Ptprm,Endothelial Cells,0.8,0.67700888,1.0,0.5,0.4151840999999999,1.0,0.281083322534808,1.0
Cancer Cell,Adam9,Itga6,Endothelial Cells,0.6,0.29689508,1.0,0.5,0.644167,1.0,0.19125001299835998,1.0
Cancer Cell,Inhba,Eng,Endothelial Cells,0.6,0.6117163999999999,1.0,0.5,1.0055020000000001,1.0,0.6150820636327998,1.0
Cancer Cell,Anxa1,Dysf,Endothelial Cells,1.0,0.95900026,1.0,0.5,0.4151840999999999,1.0,0.3981616598478659,1.0
Cancer Cell,C1qa,Cd93,Endothelial Cells,0.4,0.26477368,1.0,1.0,1.6496689999999998,1.0,0.43678893191192003,1.0
Cancer Cell,Vegfc,Kdr,Endothelial Cells,0.4,0.43965074,1.0,1.0,1.6496689999999998,1.0,0.7252781966050599,1.0
Cancer Cell,Efnb1,Ephb4,Endothelial Cells,0.4,0.2474161,1.0,0.5,0.638843,0.8967524474022993,0.1580600435723,0.8967524474022993
Cancer Cell,Sema3f,Nrp1,Endothelial Cells,0.4,0.19375896,1.0,1.0,2.0023014999999997,0.8894189606141343,0.3879638562464399,0.8894189606141343
Cancer Cell,Vegfa,Nrp1,Endothelial Cells,0.4,0.26477368,1.0,1.0,2.0023014999999997,0.8894189606141343,0.5301567366245199,0.8894189606141343
Cancer Cell,Alcam,Nrp1,Endothelial Cells,0.8,0.94636168,1.0,1.0,2.0023014999999997,0.8894189606141343,1.89490141140652,0.8894189606141343
Cancer Cell,Pgf,Nrp1,Endothelial Cells,0.6,0.48939269999999996,1.0,1.0,2.0023014999999997,0.8894189606141343,0.9799117372990498,0.8894189606141343
Cancer Cell,Vegfa,Flt1,Endothelial Cells,0.4,0.26477368,1.0,1.0,2.3606415000000003,0.8118605506855859,0.62503573711572,0.8118605506855859
Cancer Cell,Pgf,Flt1,Endothelial Cells,0.6,0.48939269999999996,1.0,1.0,2.3606415000000003,0.8118605506855859,1.15528071741705,0.8118605506855859
Cancer Cell,Fn1,Itga5,Endothelial Cells,1.0,1.76948390628201,0.8099555155756615,0.5,0.638843,0.8444878286800225,1.130422407140918,0.6839975746758985
