Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Ligand detection rate,Ligand average expression value,Ligand derived specificity of average expression value,Receptor detection rate,Receptor average expression value,Receptor derived specificity of average expression value,Edge average expression weight,Edge average expression derived specificity
Cancer Cell,Dcn,Tlr2,Neutrophils,0.4,0.22590498,1.0,0.3333333333333333,0.4407443333333333,1.0,0.09956633980678,1.0
Cancer Cell,Anxa1,Fpr1,Neutrophils,1.0,0.95900026,1.0,0.3333333333333333,0.8377313333333333,1.0,0.8033845664768133,1.0
Cancer Cell,Lrpap1,Sorl1,Neutrophils,0.4,0.19375896,1.0,0.3333333333333333,0.6241173333333333,1.0,0.12092832542463999,1.0
Cancer Cell,Cxcl5,Cxcr2,Neutrophils,0.4,0.19375896,1.0,0.6666666666666666,1.3743818662297171,0.8550919345716802,0.266298801043529,0.8550919345716802
Cancer Cell,Fn1,Nt5e,Neutrophils,1.0,1.76948390628201,0.8099555155756615,0.3333333333333333,0.8259896666666666,1.0,1.4615754219219093,0.8099555155756615
Cancer Cell,Fn1,Plaur,Neutrophils,1.0,1.76948390628201,0.8099555155756615,0.6666666666666666,1.0625440000000002,0.9352580372615314,1.880154507716512,0.7575174057664449
Cancer Cell,Adam9,Itgb5,Neutrophils,0.6,0.29689508,1.0,0.3333333333333333,0.6217996666666669,0.7357343153815379,0.1846092617789734,0.7357343153815379
Cancer Cell,Ltbp3,Itgb5,Neutrophils,0.4,0.32249836,1.0,0.3333333333333333,0.6217996666666669,0.7357343153815379,0.2005293727485467,0.7357343153815379
Cancer Cell,Ccl5,Ccr1,Neutrophils,0.6,1.16965274,0.6448561090199625,0.6666666666666666,1.5794656666666669,0.9030985780865508,1.847426344752593,0.5823686351263538
Cancer Cell,Fn1,Cd44,Neutrophils,1.0,1.76948390628201,0.8099555155756615,0.3333333333333333,0.8972830000000002,0.6361570829708902,1.587727827880441,0.5152589381247963
Cancer Cell,Adam9,Itgav,Neutrophils,0.6,0.29689508,1.0,0.3333333333333333,0.4407443333333333,0.4515202092936194,0.1308548241045467,0.4515202092936194
Cancer Cell,Mfge8,Pdgfrb,Neutrophils,1.0,1.78485882,0.5539851267965235,0.3333333333333333,0.4407443333333333,0.7857103637970434,0.7866664107150201,0.4352718555134477
Cancer Cell,Jag1,Notch1,Neutrophils,0.4,0.449238,0.5047718175679142,0.3333333333333333,0.4407443333333333,0.7893168634837427,0.197999102818,0.3984249078176941
Cancer Cell,Gnas,Adrb2,Neutrophils,1.0,1.8500952000000002,0.3759163378183172,0.3333333333333333,0.9637616666666666,1.0,1.7830508334439998,0.3759163378183172
Cancer Cell,Rps19,C5ar1,Neutrophils,1.0,3.9769566,0.4231739357706678,0.6666666666666666,1.459531,0.8771860972532608,5.8044914433546015,0.3712022931779741
Cancer Cell,Fn1,Itgav,Neutrophils,1.0,1.76948390628201,0.8099555155756615,0.3333333333333333,0.4407443333333333,0.4515202092936194,0.779890004618327,0.36571128391124397
Cancer Cell,Anxa2,Tlr2,Neutrophils,1.0,1.87210214,0.3567772819305744,0.3333333333333333,0.4407443333333333,1.0,0.8251184096262066,0.3567772819305744
Cancer Cell,Hbegf,Cd44,Neutrophils,1.0,1.26395532,0.4962593365817796,0.3333333333333333,0.8972830000000002,0.6361570829708902,1.13412562139556,0.3156988919569341
Cancer Cell,Spp1,Itgb5,Neutrophils,0.6,1.1802734,0.4169239447246876,0.3333333333333333,0.6217996666666669,0.7357343153815379,0.7338936066955336,0.3067452530381882
Cancer Cell,Mif,Cd74,Neutrophils,1.0,2.759633200000001,0.47949505656552294,1.0,1.8993813333333331,0.5709024212672318,5.2415957869269345,0.2737448887789253
Cancer Cell,Spp1,Cd44,Neutrophils,0.6,1.1802734,0.4169239447246876,0.3333333333333333,0.8972830000000002,0.6361570829708902,1.0590392571722,0.2652291204967739
Cancer Cell,Ybx1,Notch1,Neutrophils,1.0,1.89679178,0.3184946390203092,0.3333333333333333,0.4407443333333333,0.7893168634837427,0.8360002285482468,0.2513931895078974
Cancer Cell,Mfge8,Itgav,Neutrophils,1.0,1.78485882,0.5539851267965235,0.3333333333333333,0.4407443333333333,0.4515202092936194,0.7866664107150201,0.2501354803967185
Cancer Cell,Il1rn,Il1r2,Neutrophils,0.4,0.4609087000000001,0.2668332321462615,0.6666666666666666,1.70549622568905,0.9096120375987604,0.7860780482372467,0.24271471999162397
