Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Ligand detection rate,Ligand average expression value,Ligand derived specificity of average expression value,Receptor detection rate,Receptor average expression value,Receptor derived specificity of average expression value,Edge average expression weight,Edge average expression derived specificity
Endothelial Cells,Cthrc1,Fzd3,Cancer Cell,0.5,0.7928275,1.0,0.4,0.22590498,1.0,0.17910368053095002,1.0
Endothelial Cells,Tfpi,Lrp1,Cancer Cell,0.5,0.4151840999999999,1.0,0.4,0.19375896,1.0,0.08044563942453598,1.0
Endothelial Cells,Pdgfb,Lrp1,Cancer Cell,1.0,1.0593511,1.0,0.4,0.19375896,1.0,0.205258767410856,1.0
Endothelial Cells,Tgfa,Erbb2,Cancer Cell,0.5,0.4151840999999999,1.0,0.4,0.29469509999999993,1.0,0.12235271986790999,1.0
Endothelial Cells,Dll4,Notch3,Cancer Cell,0.5,0.4151840999999999,1.0,0.4,0.3124028799999999,1.0,0.12970470857020802,1.0
Endothelial Cells,Mdk,Lrp1,Cancer Cell,0.5,0.644167,1.0,0.4,0.19375896,1.0,0.12481312798632002,1.0
Endothelial Cells,Pros1,Axl,Cancer Cell,0.5,0.4151840999999999,1.0,0.4,0.32197044,1.0,0.133677007358004,1.0
Endothelial Cells,Sema4c,Plxnb2,Cancer Cell,1.0,1.0593512223069301,0.8980924213026598,0.4,0.23784854,1.0,0.2519651415729187,0.8980924213026598
Endothelial Cells,Efnb2,Ephb3,Cancer Cell,0.5,0.638843,0.8967524474022993,0.4,0.19119589999999997,1.0,0.12214416234369999,0.8967524474022993
Endothelial Cells,Col4a1,Itgb8,Cancer Cell,1.0,1.9128955,0.8557308554117617,0.4,0.23784854,1.0,0.4549794018475699,0.8557308554117617
Endothelial Cells,Fgf2,Sdc4,Cancer Cell,0.5,0.644167,1.0,1.0,1.9794049999999999,0.8266157229229849,1.275067380635,0.8266157229229849
Endothelial Cells,Mdk,Sdc4,Cancer Cell,0.5,0.644167,1.0,1.0,1.9794049999999999,0.8266157229229849,1.275067380635,0.8266157229229849
Endothelial Cells,Fgf2,Sdc1,Cancer Cell,0.5,0.644167,1.0,1.0,1.74721938,0.8079987829098388,1.12550106635646,0.8079987829098388
Endothelial Cells,Mdk,Sdc1,Cancer Cell,0.5,0.644167,1.0,1.0,1.74721938,0.8079987829098388,1.12550106635646,0.8079987829098388
Endothelial Cells,Fam3c,Lifr,Cancer Cell,0.5,0.4151840999999999,0.7654653145386456,0.4,0.2896806200000001,1.0,0.120270787502142,0.7654653145386456
Endothelial Cells,Dll4,Notch2,Cancer Cell,0.5,0.4151840999999999,1.0,1.0,1.1443108999999998,0.7219375551939231,0.4750996911366899,0.7219375551939231
