Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Ligand detection rate,Ligand average expression value,Ligand derived specificity of average expression value,Receptor detection rate,Receptor average expression value,Receptor derived specificity of average expression value,Edge average expression weight,Edge average expression derived specificity
Endothelial Cells,Mdk,Sdc3,Endothelial Cells,0.5,0.644167,1.0,0.5,0.644167,1.0,0.4149511238890001,1.0
Endothelial Cells,Tnfsf10,Tnfrsf10b,Endothelial Cells,0.5,0.4151840999999999,1.0,0.5,0.644167,1.0,0.2674478961447,1.0
Endothelial Cells,Fgf2,Sdc3,Endothelial Cells,0.5,0.644167,1.0,0.5,0.644167,1.0,0.4149511238890001,1.0
Endothelial Cells,Pltp,Abca1,Endothelial Cells,0.5,0.4151840999999999,1.0,0.5,0.644167,1.0,0.2674478961447,1.0
Endothelial Cells,Mdk,Itga6,Endothelial Cells,0.5,0.644167,1.0,0.5,0.644167,1.0,0.4149511238890001,1.0
Endothelial Cells,Tgfb2,Eng,Endothelial Cells,0.5,0.638843,1.0,0.5,1.0055020000000001,1.0,0.642357914186,1.0
Endothelial Cells,Lamb1,Itga6,Endothelial Cells,0.5,0.4151840999999999,1.0,0.5,0.644167,1.0,0.2674478961447,1.0
Endothelial Cells,Cd38,Pecam1,Endothelial Cells,1.0,1.0593511,1.0,1.0,2.4948924999999997,1.0,2.64296711425675,1.0
Endothelial Cells,Sema6d,Kdr,Endothelial Cells,0.5,0.7928275,1.0,1.0,1.6496689999999998,1.0,1.3079029490975,1.0
Endothelial Cells,Adm,Calcrl,Endothelial Cells,0.5,0.644167,1.0,0.5,0.4151840999999999,1.0,0.2674478961447,1.0
Endothelial Cells,Adm,Ramp2,Endothelial Cells,0.5,0.644167,1.0,1.0,2.814566,1.0,1.8130505365220002,1.0
Endothelial Cells,Col4a2,Cd93,Endothelial Cells,1.0,2.246154,0.9492022303624328,1.0,1.6496689999999998,1.0,3.7054106230259984,0.9492022303624328
Endothelial Cells,Mmrn2,Cd93,Endothelial Cells,1.0,1.0593511,0.9092750057104833,1.0,1.6496689999999998,1.0,1.7475786697858997,0.9092750057104833
Endothelial Cells,Mmrn2,Clec14a,Endothelial Cells,1.0,1.0593511,0.9092750057104833,0.5,0.7928275,1.0,0.83988268423525,0.9092750057104833
Endothelial Cells,Efnb2,Pecam1,Endothelial Cells,0.5,0.638843,0.8967524474022993,1.0,2.4948924999999997,1.0,1.5938446093775,0.8967524474022993
Endothelial Cells,Efnb2,Rhbdl2,Endothelial Cells,0.5,0.638843,0.8967524474022993,0.5,0.638843,1.0,0.4081203786490001,0.8967524474022993
Endothelial Cells,Fgf2,Nrp1,Endothelial Cells,0.5,0.644167,1.0,1.0,2.0023014999999997,0.8894189606141343,1.2898165503505001,0.8894189606141343
Endothelial Cells,Col4a1,Cd93,Endothelial Cells,1.0,1.9128955,0.8557308554117617,1.0,1.6496689999999998,1.0,3.1556444065894995,0.8557308554117617
Endothelial Cells,Col4a1,Itga1,Endothelial Cells,1.0,1.9128955,0.8557308554117617,0.5,0.644167,1.0,1.2322241555485,0.8557308554117617
Endothelial Cells,Cxcl12,Itga5,Endothelial Cells,1.0,2.177295,1.0,0.5,0.638843,0.8444878286800225,1.390949669685,0.8444878286800225
Endothelial Cells,Efnb2,Ephb4,Endothelial Cells,0.5,0.638843,0.8967524474022993,0.5,0.638843,0.8967524474022993,0.4081203786490001,0.8041649519220136
Endothelial Cells,Sema6a,Plxna2,Endothelial Cells,0.5,0.644167,0.7868589052573101,0.5,0.644167,1.0,0.4149511238890001,0.7868589052573101
Endothelial Cells,Timp3,Kdr,Endothelial Cells,1.0,1.4369945,0.7072986610297816,1.0,1.6496689999999998,1.0,2.3705652798205,0.7072986610297816
Endothelial Cells,Col18a1,Kdr,Endothelial Cells,0.5,1.0055020000000001,0.695249472254496,1.0,1.6496689999999998,1.0,1.658745478838,0.695249472254496
Endothelial Cells,Adam15,Itga5,Endothelial Cells,0.5,0.9165690000000001,0.7545385100058928,0.5,0.638843,0.8444878286800225,0.585543689667,0.6371985879703358
Endothelial Cells,Hras,Insr,Endothelial Cells,0.5,0.4151840999999999,0.6265982111082973,0.5,0.4151840999999999,1.0,0.1723778368928099,0.6265982111082973
Endothelial Cells,Nampt,Insr,Endothelial Cells,0.5,0.644167,0.6253301547356908,0.5,0.4151840999999999,1.0,0.2674478961447,0.6253301547356908
Endothelial Cells,Col18a1,Itga5,Endothelial Cells,0.5,1.0055020000000001,0.695249472254496,0.5,0.638843,0.8444878286800225,0.642357914186,0.5871297172151309
Endothelial Cells,Ptn,Ptprb,Endothelial Cells,1.0,1.9128955,0.5711950106755401,1.0,2.306858,1.0,4.412778287339,0.5711950106755401
Endothelial Cells,Ptn,Sdc3,Endothelial Cells,1.0,1.9128955,0.5711950106755401,0.5,0.644167,1.0,1.2322241555485,0.5711950106755401
Endothelial Cells,Hras,Cav1,Endothelial Cells,0.5,0.4151840999999999,0.6265982111082973,1.0,1.963124,0.8830967161493478,0.8150578711283999,0.5533468225747932
Endothelial Cells,Agrn,Lrp4,Endothelial Cells,0.5,0.638843,0.5284397153651968,0.5,0.638843,1.0,0.4081203786490001,0.5284397153651968
Endothelial Cells,App,Ncstn,Endothelial Cells,1.0,1.555412,0.5192215591163323,0.5,0.41518410604010003,1.0,0.6457823407440441,0.5192215591163323
Endothelial Cells,Tgfb1,Acvrl1,Endothelial Cells,1.0,1.28301,0.5073279985971547,0.5,0.638843,1.0,0.81964195743,0.5073279985971547
Endothelial Cells,Tgfb1,Eng,Endothelial Cells,1.0,1.28301,0.5073279985971547,0.5,1.0055020000000001,1.0,1.2900691210200002,0.5073279985971547
Endothelial Cells,Igfbp4,Lrp6,Endothelial Cells,0.5,1.4402765,0.9316294678063758,0.5,0.4151840999999999,0.5444142752672905,0.5979799024036501,0.5071923815334596
Endothelial Cells,Bgn,Fgfr3,Endothelial Cells,0.5,0.638843,1.0,0.5,0.4151840999999999,0.4930367295079818,0.2652374559963,0.4930367295079818
Endothelial Cells,Fgf2,Fgfr3,Endothelial Cells,0.5,0.644167,1.0,0.5,0.4151840999999999,0.4930367295079818,0.2674478961447,0.4930367295079818
Endothelial Cells,Gnai2,Tbxa2r,Endothelial Cells,1.0,2.07081,0.4639396791833926,0.5,0.4151840999999999,1.0,0.8597673861209998,0.4639396791833926
Endothelial Cells,App,Cav1,Endothelial Cells,1.0,1.555412,0.5192215591163323,1.0,1.963124,0.8830967161493478,3.053466627088,0.4585228538095775
Endothelial Cells,Calr,Scarf1,Endothelial Cells,1.0,1.4369945,0.4445376678985807,0.5,0.4151840999999999,1.0,0.5966172681874499,0.4445376678985807
Endothelial Cells,Anxa2,Robo4,Endothelial Cells,1.0,2.3297830000000004,0.4440001581473859,1.0,1.28301,1.0,2.9891348868299996,0.4440001581473859
Endothelial Cells,Lamb1,Itgb1,Endothelial Cells,0.5,0.4151840999999999,1.0,0.5,0.7928275,0.4295066954076568,0.32916937204275,0.4295066954076568
Endothelial Cells,Cxcl12,Itgb1,Endothelial Cells,1.0,2.177295,1.0,0.5,0.7928275,0.4295066954076568,1.7262193516125,0.4295066954076568
Endothelial Cells,Hspg2,Itgb1,Endothelial Cells,1.0,1.28301,1.0,0.5,0.7928275,0.4295066954076568,1.017205610775,0.4295066954076568
Endothelial Cells,Mdk,Itgb1,Endothelial Cells,0.5,0.644167,1.0,0.5,0.7928275,0.4295066954076568,0.5107133121925,0.4295066954076568
Endothelial Cells,Cxcl12,Itgav,Endothelial Cells,1.0,2.177295,1.0,0.5,0.4151840999999999,0.4253350469865363,0.9039782650094998,0.4253350469865363
Endothelial Cells,Gnai2,Cav1,Endothelial Cells,1.0,2.07081,0.4639396791833926,1.0,1.963124,0.8830967161493478,4.06525681044,0.409703607178236
Endothelial Cells,Arf1,Insr,Endothelial Cells,1.0,2.001951,0.3959229224810616,0.5,0.4151840999999999,1.0,0.8311782241790999,0.3959229224810616
Endothelial Cells,Apoe,Scarb1,Endothelial Cells,1.0,2.0974150000000003,0.4703503203963371,1.0,1.8974901000000002,0.8245076373183028,3.9798241980914986,0.3878074313818907
Endothelial Cells,Col4a1,Itgb1,Endothelial Cells,1.0,1.9128955,0.8557308554117617,0.5,0.7928275,0.4295066954076568,1.51659615702625,0.3675421318662732
Endothelial Cells,Col4a1,Itgav,Endothelial Cells,1.0,1.9128955,0.8557308554117617,0.5,0.4151840999999999,0.4253350469865363,0.7942037965615498,0.3639723235943906
Endothelial Cells,Adam17,Itga5,Endothelial Cells,0.5,0.4151840999999999,0.4253350469865363,0.5,0.638843,0.8444878286800225,0.2652374559963,0.3591902702911754
Endothelial Cells,Adam15,Itgb1,Endothelial Cells,0.5,0.9165690000000001,0.7545385100058928,0.5,0.7928275,0.4295066954076568,0.7266811088474999,0.3240793419904482
Endothelial Cells,Adam15,Itgav,Endothelial Cells,0.5,0.9165690000000001,0.7545385100058928,0.5,0.4151840999999999,0.4253350469865363,0.3805448753528999,0.3209316726065075
Endothelial Cells,Col18a1,Itgb1,Endothelial Cells,0.5,1.0055020000000001,0.695249472254496,0.5,0.7928275,0.4295066954076568,0.7971896369049999,0.2986143033119459
Endothelial Cells,Grn,Tnfrsf1a,Endothelial Cells,0.5,0.638843,0.413898689526089,1.0,1.4369945,0.7194181628018393,0.9180138773635,0.2977662348049479
Endothelial Cells,H2-K1,Aplp2,Endothelial Cells,1.0,3.1823655,0.4277090124877538,1.0,1.8269575,0.6417421405062015,5.814046517966251,0.2744788971876848
Endothelial Cells,Cx3cl1,Itgav,Endothelial Cells,0.5,0.4151840999999999,0.5791512626106577,0.5,0.4151840999999999,0.4253350469865363,0.1723778368928099,0.2463333294948159
Endothelial Cells,Gnai2,Igf1r,Endothelial Cells,1.0,2.07081,0.4639396791833926,0.5,0.4151840999999999,0.4651356604644934,0.8597673861209998,0.2157948890926525
