Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Ligand detection rate,Ligand average expression value,Ligand derived specificity of average expression value,Receptor detection rate,Receptor average expression value,Receptor derived specificity of average expression value,Edge average expression weight,Edge average expression derived specificity
Endothelial Cells,Csf3,Csf3r,Neutrophils,0.5,0.9103885,1.0,1.0,2.462455333333333,1.0,2.2417910172303332,1.0
Endothelial Cells,Icam2,Itgam,Neutrophils,0.5,0.4151840999999999,1.0,0.3333333333333333,0.6217996666666669,1.0,0.25816133498530003,1.0
Endothelial Cells,Bgn,Tlr2,Neutrophils,0.5,0.638843,1.0,0.3333333333333333,0.4407443333333333,1.0,0.2815664321396667,1.0
Endothelial Cells,Cd34,Sell,Neutrophils,0.5,1.2687285,1.0,0.3333333333333333,0.4407442343222034,1.0,0.5591847712952576,1.0
Endothelial Cells,Dll4,Notch1,Neutrophils,0.5,0.4151840999999999,1.0,0.3333333333333333,0.4407443333333333,0.7893168634837427,0.1829900393651,0.7893168634837427
Endothelial Cells,Mfng,Notch1,Neutrophils,1.0,1.555412,1.0,0.3333333333333333,0.4407443333333333,0.7893168634837427,0.6855390249986667,0.7893168634837427
Endothelial Cells,Pdgfb,Pdgfrb,Neutrophils,1.0,1.0593511,1.0,0.3333333333333333,0.4407443333333333,0.7857103637970434,0.4669029943354334,0.7857103637970434
Endothelial Cells,Pdgfd,Pdgfrb,Neutrophils,0.5,0.644167,1.0,0.3333333333333333,0.4407443333333333,0.7857103637970434,0.2839129549703334,0.7857103637970434
Endothelial Cells,Sema6d,Tyrobp,Neutrophils,0.5,0.7928275,1.0,1.0,4.156840333333333,0.6657488585414574,3.295657329375834,0.6657488585414574
Endothelial Cells,Fgf2,Cd44,Neutrophils,0.5,0.644167,1.0,0.3333333333333333,0.8972830000000002,0.6361570829708902,0.5780000982610002,0.6361570829708902
Endothelial Cells,Gnas,Adrb2,Neutrophils,1.0,2.6307215,0.53452989451565,0.3333333333333333,0.9637616666666666,1.0,2.535388537375833,0.53452989451565
Endothelial Cells,Fgf2,Fgfr1,Neutrophils,0.5,0.644167,1.0,0.3333333333333333,0.6241173333333333,0.48290006865537705,0.4020357902613333,0.48290006865537705
Endothelial Cells,Apoe,Sorl1,Neutrophils,1.0,2.0974150000000003,0.4703503203963371,0.3333333333333333,0.6241173333333333,1.0,1.309033056693333,0.4703503203963371
Endothelial Cells,Gnai2,Fpr1,Neutrophils,1.0,2.07081,0.4639396791833926,0.3333333333333333,0.8377313333333333,1.0,1.7347824223800001,0.4639396791833926
Endothelial Cells,Ybx1,Notch1,Neutrophils,1.0,3.436899,0.5770975590975312,0.3333333333333333,0.4407443333333333,0.7893168634837427,1.5147937584889999,0.4555128352709872
Endothelial Cells,Cxcl12,Itgav,Neutrophils,1.0,2.177295,1.0,0.3333333333333333,0.4407443333333333,0.4515202092936194,0.959630433245,0.4515202092936194
