Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Ligand detection rate,Ligand average expression value,Ligand derived specificity of average expression value,Receptor detection rate,Receptor average expression value,Receptor derived specificity of average expression value,Edge average expression weight,Edge average expression derived specificity
Neutrophils,Osm,Lifr,Cancer Cell,1.0,2.576048333333333,1.0,0.4,0.2896806200000001,1.0,0.7462312783499668,1.0
Neutrophils,Tslp,Crlf2,Cancer Cell,0.3333333333333333,0.4407443333333333,1.0,0.4,0.19119589999999997,1.0,0.08426850948156668,1.0
Neutrophils,Serpine1,Lrp1,Cancer Cell,0.3333333333333333,0.7417343333333334,1.0,0.4,0.19375896,1.0,0.14371767302295999,1.0
Neutrophils,Postn,Ptk7,Cancer Cell,0.3333333333333333,0.4407443333333333,1.0,0.4,0.24485304,1.0,0.10791758987944,1.0
Neutrophils,Col5a2,Ddr1,Cancer Cell,0.3333333333333333,0.4407442343222034,1.0,0.4,0.2956091199999999,1.0,0.1302880152530603,1.0
Neutrophils,Pdcd1lg2,Rgmb,Cancer Cell,0.3333333333333333,0.4407443333333333,1.0,0.4,0.22334192,1.0,0.09843668563578667,1.0
Neutrophils,Mmp9,Lrp1,Cancer Cell,1.0,2.026305666666667,1.0,0.4,0.19375896,1.0,0.3926148786154399,1.0
Neutrophils,Tnf,Tnfrsf21,Cancer Cell,0.3333333333333333,1.042751,0.8966377770868188,0.8,0.7020855800000001,1.0,0.7321004406305801,0.8966377770868188
Neutrophils,Thbs1,Lrp1,Cancer Cell,0.3333333333333333,0.6241173333333333,0.8945732108454559,0.4,0.19375896,1.0,0.12092832542463999,0.8945732108454559
Neutrophils,Thbs1,Sdc1,Cancer Cell,0.3333333333333333,0.6241173333333333,0.8945732108454559,1.0,1.74721938,0.8079987829098388,1.09046990019392,0.7228140655868751
Neutrophils,Col3a1,Ddr1,Cancer Cell,0.3333333333333333,0.4407442343222034,0.7123592687855439,0.4,0.2956091199999999,1.0,0.1302880152530603,0.7123592687855439
Neutrophils,Col1a2,Itgb1,Cancer Cell,0.3333333333333333,0.4407443333333333,1.0,1.0,1.05307504,0.5704933045923432,0.4641368564547733,0.5704933045923432
Neutrophils,Cd14,Itgb1,Cancer Cell,1.0,4.342045,0.9107978755899578,1.0,1.05307504,0.5704933045923432,4.572499212056799,0.5196040898610009
Neutrophils,Thbs1,Itgb1,Cancer Cell,0.3333333333333333,0.6241173333333333,0.8945732108454559,1.0,1.05307504,0.5704933045923432,0.6572423857646933,0.5103480272550072
Neutrophils,Jag1,Notch3,Cancer Cell,0.3333333333333333,0.4407443333333333,0.4952281824320858,0.4,0.3124028799999999,1.0,0.1376897990770133,0.4952281824320858
Neutrophils,Tgm2,Sdc4,Cancer Cell,0.3333333333333333,1.0549979999999999,0.5645807119747668,1.0,1.9794049999999999,0.8266157229229849,2.08826831619,0.4666912933773954
Neutrophils,Cxcl10,Sdc4,Cancer Cell,0.3333333333333333,0.9516879999999999,0.4652083190209622,1.0,1.9794049999999999,0.8266157229229849,1.88377598564,0.3845485109372993
Neutrophils,Sema3c,Nrp2,Cancer Cell,0.3333333333333333,0.4407443333333333,1.0,0.4,0.5668259768583256,0.3821139694781738,0.2498253372864382,0.3821139694781738
Neutrophils,Osm,Osmr,Cancer Cell,1.0,2.576048333333333,1.0,0.4,0.25151954,0.3772583872498431,0.6479264918177666,0.3772583872498431
Neutrophils,Psap,Lrp1,Cancer Cell,0.6666666666666666,1.6355716666666669,0.3654373926197191,0.4,0.19375896,1.0,0.3169066651387999,0.3654373926197191
Neutrophils,Col1a2,Cd44,Cancer Cell,0.3333333333333333,0.4407443333333333,1.0,0.6,0.51319096,0.3638429170291098,0.2261860075378933,0.3638429170291098
Neutrophils,Mmp9,Cd44,Cancer Cell,1.0,2.026305666666667,1.0,0.6,0.51319096,0.3638429170291098,1.039881750330107,0.3638429170291098
Neutrophils,Jag1,Notch2,Cancer Cell,0.3333333333333333,0.4407443333333333,0.4952281824320858,1.0,1.1443108999999998,0.7219375551939231,0.5043485447465667,0.3575238232881501
Neutrophils,Gnai2,F2r,Cancer Cell,0.6666666666666666,1.5299303333333332,0.3427621983762912,0.6,0.37401248,1.0,0.5722130381972267,0.3427621983762912
Neutrophils,Serpine2,Lrp1,Cancer Cell,0.3333333333333333,0.6217998197188533,0.3368532679480825,0.4,0.19375896,1.0,0.1204792863969125,0.3368532679480825
Neutrophils,Tgm2,Itgb1,Cancer Cell,0.3333333333333333,1.0549979999999999,0.5645807119747668,1.0,1.05307504,0.5704933045923432,1.1109920610499198,0.3220895160835826
Neutrophils,Apoe,Lrp1,Cancer Cell,0.6666666666666666,1.363534,0.3057757543315459,0.4,0.19375896,1.0,0.26419692976464004,0.3057757543315459
Neutrophils,Col18a1,Gpc1,Cancer Cell,0.3333333333333333,0.4407443333333333,0.3047505277455039,0.4,0.2474161037309284,1.0,0.1090472456948189,0.3047505277455039
Neutrophils,Timp1,Cd63,Cancer Cell,0.3333333333333333,0.4407443333333333,0.4988705365472633,1.0,2.1376703999999997,0.6075951899995066,0.9421661153344,0.3031113384385902
Neutrophils,Timp2,Itgb1,Cancer Cell,0.6666666666666666,1.0625440000000002,0.4932883070674958,1.0,1.05307504,0.5704933045923432,1.11893856530176,0.2814176764156981
Neutrophils,Thbs1,Cd47,Cancer Cell,0.3333333333333333,0.6241173333333333,0.8945732108454559,0.6,0.8608319999999999,0.3092652540757211,0.5372601722879999,0.2766604113414536
Neutrophils,Adam17,Itgb1,Cancer Cell,0.3333333333333333,0.4407443333333333,0.4515202092936194,1.0,1.05307504,0.5704933045923432,0.4641368564547733,0.2575892562901433
Neutrophils,Tnf,Tnfrsf1a,Cancer Cell,0.3333333333333333,1.042751,0.8966377770868188,0.8,0.56044534,0.2805818371981607,0.5844049387303399,0.2515802747962945
Neutrophils,Spp1,Itgb1,Cancer Cell,0.3333333333333333,1.235450666666667,0.4364149572966837,1.0,1.05307504,0.5704933045923432,1.301022260218027,0.2489718111617114
Neutrophils,H2-K1,Erbb2,Cancer Cell,0.6666666666666666,1.784485333333333,0.2398343181255831,0.4,0.29469509999999993,1.0,0.5258790837552001,0.2398343181255831
Neutrophils,App,Lrp1,Cancer Cell,0.3333333333333333,0.6326473333333333,0.2111878619839138,0.4,0.19375896,1.0,0.12258108935343999,0.2111878619839138
Neutrophils,App,Tnfrsf21,Cancer Cell,0.3333333333333333,0.6326473333333333,0.2111878619839138,0.8,0.7020855800000001,1.0,0.4441725699587867,0.2111878619839138
Neutrophils,App,Gpc1,Cancer Cell,0.3333333333333333,0.6326473333333333,0.2111878619839138,0.4,0.2474161037309284,1.0,0.1565271382490953,0.2111878619839138
Neutrophils,Arf1,Pld2,Cancer Cell,0.6666666666666666,1.0625440000000002,0.2101377734743344,0.4,0.28366556,1.0,0.30140713878464004,0.2101377734743344
Neutrophils,Calr,Lrp1,Cancer Cell,0.3333333333333333,0.6217996666666669,0.1923552064535493,0.4,0.19375896,1.0,0.12047925674168,0.1923552064535493
Neutrophils,Gnai2,Igf1r,Cancer Cell,0.6666666666666666,1.5299303333333332,0.3427621983762912,0.8,0.4774245199999999,0.5348643395355066,0.7304262550251066,0.1833312768522733
Neutrophils,Tgfb1,Vasn,Cancer Cell,0.3333333333333333,0.4407443333333333,0.1742791876314582,0.4,0.19119589999999997,1.0,0.08426850948156668,0.1742791876314582
Neutrophils,Tgfb1,Itgb8,Cancer Cell,0.3333333333333333,0.4407443333333333,0.1742791876314582,0.4,0.23784854,1.0,0.1048303961966067,0.1742791876314582
Neutrophils,Col18a1,Itgb1,Cancer Cell,0.3333333333333333,0.4407443333333333,0.3047505277455039,1.0,1.05307504,0.5704933045923432,0.4641368564547733,0.1738581356497931
