Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Ligand detection rate,Ligand average expression value,Ligand derived specificity of average expression value,Receptor detection rate,Receptor average expression value,Receptor derived specificity of average expression value,Edge average expression weight,Edge average expression derived specificity
Neutrophils,Col1a2,Cd93,Endothelial Cells,0.3333333333333333,0.4407443333333333,1.0,1.0,1.6496689999999998,1.0,0.7270822636256666,1.0
Neutrophils,Thbs1,Itga6,Endothelial Cells,0.3333333333333333,0.6241173333333333,0.8945732108454559,0.5,0.644167,1.0,0.4020357902613333,0.8945732108454559
Neutrophils,Thbs1,Cd36,Endothelial Cells,0.3333333333333333,0.6241173333333333,0.8945732108454559,0.5,0.644167,1.0,0.4020357902613333,0.8945732108454559
Neutrophils,Sema3c,Nrp1,Endothelial Cells,0.3333333333333333,0.4407443333333333,1.0,1.0,2.0023014999999997,0.8894189606141343,0.8825030397498332,0.8894189606141343
Neutrophils,Ptgs2,Cav1,Endothelial Cells,0.6666666666666666,1.4595312786242534,0.9198292242007912,1.0,1.963124,0.8830967161493478,2.865240881817959,0.8122981673099209
Neutrophils,Tnf,Tnfrsf1a,Endothelial Cells,0.3333333333333333,1.042751,0.8966377770868188,1.0,1.4369945,0.7194181628018393,1.4984274518695,0.6450575022905244
Neutrophils,Osm,Osmr,Endothelial Cells,1.0,2.576048333333333,1.0,0.5,0.4151840999999999,0.6227416127501568,1.0695343088315,0.6227416127501568
Neutrophils,Sema3c,Nrp2,Endothelial Cells,0.3333333333333333,0.4407443333333333,1.0,0.5,0.916569088840005,0.6178860305218261,0.4039726320147288,0.6178860305218261
Neutrophils,Col1a2,Itgb1,Endothelial Cells,0.3333333333333333,0.4407443333333333,1.0,0.5,0.7928275,0.4295066954076568,0.3494342279358333,0.4295066954076568
Neutrophils,Cd14,Itgb1,Endothelial Cells,1.0,4.342045,0.9107978755899578,0.5,0.7928275,0.4295066954076568,3.4424926822375,0.3911937857289569
Neutrophils,Thbs1,Itgb1,Endothelial Cells,0.3333333333333333,0.6241173333333333,0.8945732108454559,0.5,0.7928275,0.4295066954076568,0.4948173850933333,0.3842251835904488
Neutrophils,Adam17,Itga5,Endothelial Cells,0.3333333333333333,0.4407443333333333,0.4515202092936194,0.5,0.638843,0.8444878286800225,0.2815664321396667,0.3813033211515179
Neutrophils,Gnai2,Tbxa2r,Endothelial Cells,0.6666666666666666,1.5299303333333332,0.3427621983762912,0.5,0.4151840999999999,1.0,0.6352027485077,0.3427621983762912
Neutrophils,Col18a1,Kdr,Endothelial Cells,0.3333333333333333,0.4407443333333333,0.3047505277455039,1.0,1.6496689999999998,1.0,0.7270822636256666,0.3047505277455039
Neutrophils,Gnai2,Cav1,Endothelial Cells,0.6666666666666666,1.5299303333333332,0.3427621983762912,1.0,1.963124,0.8830967161493478,3.003442955694667,0.3026921718062341
Neutrophils,Col18a1,Itga5,Endothelial Cells,0.3333333333333333,0.4407443333333333,0.3047505277455039,0.5,0.638843,0.8444878286800225,0.2815664321396667,0.2573581114648916
Neutrophils,Apoe,Scarb1,Endothelial Cells,0.6666666666666666,1.363534,0.3057757543315459,1.0,1.8974901000000002,0.8245076373183028,2.5872922660134,0.2521144447531247
Neutrophils,Tgm2,Itgb1,Endothelial Cells,0.3333333333333333,1.0549979999999999,0.5645807119747668,0.5,0.7928275,0.4295066954076568,0.8364314268449999,0.2424911958911842
