Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Ligand detection rate,Ligand average expression value,Ligand derived specificity of average expression value,Receptor detection rate,Receptor average expression value,Receptor derived specificity of average expression value,Edge average expression weight,Edge average expression derived specificity
Neutrophils,Hp,Itgam,Neutrophils,0.6666666666666666,1.073391666666667,1.0,0.3333333333333333,0.6217996666666669,1.0,0.6674345805361114,1.0
Neutrophils,Il1a,Il1rap,Neutrophils,0.3333333333333333,1.114199666666667,1.0,0.3333333333333333,0.4407443333333333,1.0,0.4910771892852223,1.0
Neutrophils,Selplg,Sell,Neutrophils,1.0,1.878564333333334,0.9623213457944048,0.3333333333333333,0.4407442343222034,1.0,0.8279663987200006,0.9623213457944048
Neutrophils,Il1a,Il1r2,Neutrophils,0.3333333333333333,1.114199666666667,1.0,0.6666666666666666,1.70549622568905,0.9096120375987604,1.9002633261639967,0.9096120375987604
Neutrophils,Il1b,Il1rap,Neutrophils,1.0,5.004711666666666,0.8226066199184782,0.3333333333333333,0.4407443333333333,1.0,2.205798307050555,0.8226066199184782
Neutrophils,Ccl4,Ccr1,Neutrophils,0.6666666666666666,2.235648,0.8433759346734937,0.6666666666666666,1.5794656666666669,0.9030985780865508,3.531129258752,0.7616516073960479
Neutrophils,Il1b,Il1r2,Neutrophils,1.0,5.004711666666666,0.8226066199184782,0.6666666666666666,1.70549622568905,0.9096120375987604,8.535516858161953,0.748252883686276
Neutrophils,Cd84,Cd84,Neutrophils,0.3333333333333333,0.4407442343222034,0.8569832112825037,0.3333333333333333,0.4407442343222034,0.8569832112825037,0.1942554800882653,0.7344202244200723
Neutrophils,Cxcl2,Cxcr2,Neutrophils,1.0,6.008184666666666,0.8419044283064044,0.6666666666666666,1.3743818662297171,0.8550919345716802,8.257540054826102,0.7199056863249879
Neutrophils,Il1rn,Il1r2,Neutrophils,0.3333333333333333,1.26642,0.7331667678537385,0.6666666666666666,1.70549622568905,0.9096120375987604,2.159874530137126,0.6668973176071364
Neutrophils,Mmp9,Cd44,Neutrophils,1.0,2.026305666666667,1.0,0.3333333333333333,0.8972830000000002,0.6361570829708902,1.818169627503667,0.6361570829708902
Neutrophils,Col1a2,Cd44,Neutrophils,0.3333333333333333,0.4407443333333333,1.0,0.3333333333333333,0.8972830000000002,0.6361570829708902,0.3954723976463334,0.6361570829708902
Neutrophils,Vasp,Cxcr2,Neutrophils,0.6666666666666666,1.955054,0.5418551713958083,0.6666666666666666,1.3743818662297171,0.8550919345716802,2.686990765099873,0.4633359867665111
Neutrophils,Cxcl1,Cxcr2,Neutrophils,0.6666666666666666,1.7350143333333332,0.5345567426175182,0.6666666666666666,1.3743818662297171,0.8550919345716802,2.384572237381974,0.4570951591831494
Neutrophils,Thbs1,Cd47,Neutrophils,0.3333333333333333,0.6241173333333333,0.8945732108454559,0.6666666666666666,1.278475666666667,0.4593092518415832,0.7979188238115555,0.4108857521909492
Neutrophils,Icam1,Itgam,Neutrophils,0.3333333333333333,0.6217996666666669,0.3985637748596596,0.3333333333333333,0.6217996666666669,1.0,0.38663482546677796,0.3985637748596596
Neutrophils,Jag1,Notch1,Neutrophils,0.3333333333333333,0.4407443333333333,0.4952281824320858,0.3333333333333333,0.4407443333333333,0.7893168634837427,0.1942555673654445,0.3908919556660487
Neutrophils,Adam17,Notch1,Neutrophils,0.3333333333333333,0.4407443333333333,0.4515202092936194,0.3333333333333333,0.4407443333333333,0.7893168634837427,0.1942555673654445,0.3563925153991627
Neutrophils,Gnai2,Fpr1,Neutrophils,0.6666666666666666,1.5299303333333332,0.3427621983762912,0.3333333333333333,0.8377313333333333,1.0,1.281670578050444,0.3427621983762912
Neutrophils,Spp1,Itgb5,Neutrophils,0.3333333333333333,1.235450666666667,0.4364149572966837,0.3333333333333333,0.6217996666666669,0.7357343153815379,0.7682028127164447,0.3210854598289387
Neutrophils,Apoe,Sorl1,Neutrophils,0.6666666666666666,1.363534,0.3057757543315459,0.3333333333333333,0.6241173333333333,1.0,0.8510052039893334,0.3057757543315459
Neutrophils,Gnai2,C5ar1,Neutrophils,0.6666666666666666,1.5299303333333332,0.3427621983762912,0.6666666666666666,1.459531,0.8771860972532608,2.2329807493403337,0.3006662350796469
Neutrophils,Gnai2,Cxcr2,Neutrophils,0.6666666666666666,1.5299303333333332,0.3427621983762912,0.6666666666666666,1.3743818662297171,0.8550919345716802,2.10270850672812,0.2930931913076249
Neutrophils,Spp1,Cd44,Neutrophils,0.3333333333333333,1.235450666666667,0.4364149572966837,0.3333333333333333,0.8972830000000002,0.6361570829708902,1.108548880538667,0.2776284661987239
Neutrophils,Cd47,Sirpa,Neutrophils,0.6666666666666666,1.278475666666667,0.4593092518415832,0.3333333333333333,0.6217996666666669,0.5599090419559756,0.7949557433747781,0.2571714031601368
Neutrophils,Sirpa,Cd47,Neutrophils,0.3333333333333333,0.6217996666666669,0.5599090419559756,0.6666666666666666,1.278475666666667,0.4593092518415832,0.7949557433747781,0.2571714031601368
Neutrophils,Mif,Cd74,Neutrophils,1.0,2.356814,0.4095039377857957,1.0,1.8993813333333331,0.5709024212672318,4.476488517738668,0.2337867896003766
Neutrophils,Anxa2,Tlr2,Neutrophils,0.3333333333333333,1.045372,0.1992225599220395,0.3333333333333333,0.4407443333333333,1.0,0.4607417852253333,0.1992225599220395
Neutrophils,Spp1,Itgav,Neutrophils,0.3333333333333333,1.235450666666667,0.4364149572966837,0.3333333333333333,0.4407443333333333,0.4515202092936194,0.5445178804462223,0.1970501728574646
Neutrophils,Rps19,C5ar1,Neutrophils,0.6666666666666666,1.613748666666667,0.1717133082664268,0.6666666666666666,1.459531,0.8771860972532608,2.355316205208667,0.1506245267246731
Neutrophils,Jag1,Notch2,Neutrophils,0.3333333333333333,0.4407443333333333,0.4952281824320858,0.3333333333333333,0.4407443333333333,0.2780624448060769,0.1942555673654445,0.1377043591439356
Neutrophils,App,Cd74,Neutrophils,0.3333333333333333,0.6326473333333333,0.2111878619839138,1.0,1.8993813333333331,0.5709024212672318,1.201638535516445,0.1205676617488664
Neutrophils,Timp1,Cd63,Neutrophils,0.3333333333333333,0.4407443333333333,0.4988705365472633,0.3333333333333333,0.7417343333333334,0.2108249303497976,0.3269152042554445,0.1051743461211429
Neutrophils,Vim,Cd44,Neutrophils,0.6666666666666666,1.0625440000000002,0.1641337412311415,0.3333333333333333,0.8972830000000002,0.6361570829708902,0.9534026679520003,0.1044148420387019
Neutrophils,Gnas,Adrb2,Neutrophils,0.3333333333333333,0.4407443333333333,0.08955376766603275,0.3333333333333333,0.9637616666666666,1.0,0.4247724932672222,0.08955376766603275
Neutrophils,Calr,Itgav,Neutrophils,0.3333333333333333,0.6217996666666669,0.1923552064535493,0.3333333333333333,0.4407443333333333,0.4515202092936194,0.27405467955188895,0.08685226307662396
Neutrophils,Ybx1,Notch1,Neutrophils,0.3333333333333333,0.6217996666666669,0.1044078018821595,0.3333333333333333,0.4407443333333333,0.7893168634837427,0.27405467955188895,0.08241083870485813
Neutrophils,Tgfb1,Itgav,Neutrophils,0.3333333333333333,0.4407443333333333,0.1742791876314582,0.3333333333333333,0.4407443333333333,0.4515202092936194,0.1942555673654445,0.07869057527487798
