Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Ligand-expressing cells,Ligand detection rate,Ligand average expression value,Ligand total expression value,Ligand derived specificity of average expression value,Ligand derived specificity of total expression value,Receptor-expressing cells,Receptor detection rate,Receptor average expression value,Receptor total expression value,Receptor derived specificity of average expression value,Receptor derived specificity of total expression value,Edge average expression weight,Edge average expression derived specificity,Edge total expression weight,Edge total expression derived specificity
Neutrophils,Col1a2,Cd44,Cancer Cell,1,0.3333333333333333,0.4407443333333333,1.322233,1.0,1.0,3,0.6,0.51319096,2.5659548,0.3638429170291098,0.4880278720175903,0.2261860075378933,0.3638429170291098,3.3927901130684,0.4880278720175903
Neutrophils,Col1a2,Cd44,Neutrophils,1,0.3333333333333333,0.4407443333333333,1.322233,1.0,1.0,1,0.3333333333333333,0.8972830000000002,2.691849,0.6361570829708902,0.5119721279824098,0.3954723976463334,0.6361570829708902,3.559251578817,0.5119721279824098
Neutrophils,Col1a2,Cd93,Endothelial Cells,1,0.3333333333333333,0.4407443333333333,1.322233,1.0,1.0,2,1.0,1.649669,3.299338,1.0,1.0,0.7270822636256666,1.0,4.362493581753999,1.0
Neutrophils,Col1a2,Itgb1,Cancer Cell,1,0.3333333333333333,0.4407443333333333,1.322233,1.0,1.0,5,1.0,1.05307504,5.2653752,0.5704933045923432,0.7685523266267312,0.4641368564547733,0.5704933045923432,6.9620528468216,0.7685523266267312
Neutrophils,Col1a2,Itgb1,Endothelial Cells,1,0.3333333333333333,0.4407443333333333,1.322233,1.0,1.0,1,0.5,0.7928275,1.585655,0.4295066954076568,0.2314476733732687,0.3494342279358333,0.4295066954076568,2.096605367615,0.2314476733732687
Cancer Cell,Cp,Slc40a1,Cancer Cell,3,0.6,0.61029536,3.0514768,1.0,1.0,1,0.2,0.073553162079081,0.367765810395405,1.0,1.0,0.04488915353019108,1.0,1.122228838254777,1.0
Cancer Cell,Gpi1,Amfr,Cancer Cell,4,0.8,1.3840356,6.920178000000001,0.4941254082067669,0.6668004087419911,2,0.4,0.46538214,2.3269107,0.5285032730757427,0.7369987808172411,0.6441054493641841,0.2611468955471637,16.1026362341046,0.4914310882912855
Cancer Cell,Gpi1,Amfr,Endothelial Cells,4,0.8,1.3840356,6.920178000000001,0.4941254082067669,0.6668004087419911,1,0.5,0.4151840999999999,0.8303681999999999,0.4714967269242573,0.2630012191827589,0.57462957495396,0.2329785126596031,5.7462957495396,0.1753693204507056
Endothelial Cells,Gpi1,Amfr,Cancer Cell,1,0.5,0.7928275,1.585655,0.2830535660174134,0.1527873130031889,2,0.4,0.46538214,2.3269107,0.5285032730757427,0.7369987808172411,0.36896775860085,0.1495947360959638,3.6896775860085,0.1126040634076924
Endothelial Cells,Gpi1,Amfr,Endothelial Cells,1,0.5,0.7928275,1.585655,0.2830535660174134,0.1527873130031889,1,0.5,0.4151840999999999,0.8303681999999999,0.4714967269242573,0.2630012191827589,0.32916937204275,0.1334588299214496,1.316677488171,0.04018324959549648
Neutrophils,Gpi1,Amfr,Cancer Cell,1,0.3333333333333333,0.6241173333333333,1.872352,0.2228210257758197,0.1804122782548201,2,0.4,0.46538214,2.3269107,0.5285032730757427,0.7369987808172411,0.29045306019776,0.1177616414326151,4.3567959029664,0.1329636291182633
Neutrophils,Gpi1,Amfr,Endothelial Cells,1,0.3333333333333333,0.6241173333333333,1.872352,0.2228210257758197,0.1804122782548201,1,0.5,0.4151840999999999,0.8303681999999999,0.4714967269242573,0.2630012191827589,0.2591235933343999,0.1050593843432045,1.5547415600064,0.04744864913655683
Cancer Cell,Icam1,Itgam,Neutrophils,3,0.6,0.29945814,1.4972907,0.1919479425434222,0.3226658350098678,1,0.3333333333333333,0.6217996666666669,1.865399,1.0,1.0,0.18620297163262,0.1919479425434222,2.793044574489301,0.3226658350098678
Endothelial Cells,Icam1,Itgam,Neutrophils,1,0.5,0.638843,1.277686,0.4094882825969181,0.2753410677501824,1,0.3333333333333333,0.6217996666666669,1.865399,1.0,1.0,0.3972323644523335,0.4094882825969181,2.383394186714001,0.2753410677501824
Neutrophils,Icam1,Itgam,Neutrophils,1,0.3333333333333333,0.6217996666666669,1.865399,0.3985637748596596,0.4019930972399499,1,0.3333333333333333,0.6217996666666669,1.865399,1.0,1.0,0.386634825466778,0.3985637748596596,3.479713429201002,0.4019930972399499
Cancer Cell,Icam1,Spn,Cancer Cell,3,0.6,0.29945814,1.4972907,0.1919479425434222,0.3226658350098678,1,0.2,0.1202058,0.601029,1.0,1.0,0.035996605285212,0.1919479425434222,0.8999151321303,0.3226658350098678
Endothelial Cells,Icam1,Spn,Cancer Cell,1,0.5,0.638843,1.277686,0.4094882825969181,0.2753410677501824,1,0.2,0.1202058,0.601029,1.0,1.0,0.07679263388940001,0.4094882825969181,0.7679263388940001,0.2753410677501824
Neutrophils,Icam1,Spn,Cancer Cell,1,0.3333333333333333,0.6217996666666669,1.865399,0.3985637748596596,0.4019930972399499,1,0.2,0.1202058,0.601029,1.0,1.0,0.07474392637140002,0.3985637748596596,1.121158895571,0.4019930972399499
Cancer Cell,Jag1,Notch3,Cancer Cell,2,0.4,0.449238,2.24619,0.5047718175679142,0.6294629308240642,2,0.4,0.3124028799999999,1.5620144,1.0,1.0,0.14034324500544,0.5047718175679142,3.508581125135999,0.6294629308240642
Neutrophils,Jag1,Notch3,Cancer Cell,1,0.3333333333333333,0.4407443333333333,1.322233,0.4952281824320858,0.3705370691759357,2,0.4,0.3124028799999999,1.5620144,1.0,1.0,0.1376897990770133,0.4952281824320858,2.0653469861552,0.3705370691759357
Cancer Cell,Jag1,Notch2,Cancer Cell,2,0.4,0.449238,2.24619,0.5047718175679142,0.6294629308240642,5,1.0,1.1443109,5.7215545,0.7219375551939231,0.8122838032805504,0.5140679400942,0.364413731905773,12.851698502355,0.5113025434738929
Cancer Cell,Jag1,Notch2,Neutrophils,2,0.4,0.449238,2.24619,0.5047718175679142,0.6294629308240642,1,0.3333333333333333,0.4407443333333333,1.322233,0.2780624448060769,0.1877161967194496,0.197999102818,0.1403580856621413,2.96998654227,0.1181603873501713
Neutrophils,Jag1,Notch2,Cancer Cell,1,0.3333333333333333,0.4407443333333333,1.322233,0.4952281824320858,0.3705370691759357,5,1.0,1.1443109,5.7215545,0.7219375551939231,0.8122838032805504,0.5043485447465667,0.3575238232881501,7.5652281711985,0.3009812598066575
Neutrophils,Jag1,Notch2,Neutrophils,1,0.3333333333333333,0.4407443333333333,1.322233,0.4952281824320858,0.3705370691759357,1,0.3333333333333333,0.4407443333333333,1.322233,0.2780624448060769,0.1877161967194496,0.1942555673654445,0.1377043591439356,1.748300106289,0.06955580936927824
Cancer Cell,Jag1,Notch1,Cancer Cell,2,0.4,0.449238,2.24619,0.5047718175679142,0.6294629308240642,1,0.2,0.11764274,0.5882137,0.2106831365162572,0.3078932796188451,0.05284958923211999,0.1063469097502201,1.321239730803,0.1938074061699114
Cancer Cell,Jag1,Notch1,Neutrophils,2,0.4,0.449238,2.24619,0.5047718175679142,0.6294629308240642,1,0.3333333333333333,0.4407443333333333,1.322233,0.7893168634837427,0.6921067203811548,0.197999102818,0.3984249078176941,2.96998654227,0.4356555246541529
Neutrophils,Jag1,Notch1,Cancer Cell,1,0.3333333333333333,0.4407443333333333,1.322233,0.4952281824320858,0.3705370691759357,1,0.2,0.11764274,0.5882137,0.2106831365162572,0.3078932796188451,0.05185037101280666,0.1043362267660371,0.7777555651921,0.1140858734489337
Neutrophils,Jag1,Notch1,Neutrophils,1,0.3333333333333333,0.4407443333333333,1.322233,0.4952281824320858,0.3705370691759357,1,0.3333333333333333,0.4407443333333333,1.322233,0.7893168634837427,0.6921067203811548,0.1942555673654445,0.3908919556660487,1.748300106289,0.256451195727002
Endothelial Cells,Pros1,Axl,Cancer Cell,1,0.5,0.4151840999999999,0.8303681999999999,1.0,1.0,2,0.4,0.32197044,1.6098522,1.0,1.0,0.133677007358004,1.0,1.33677007358004,1.0
Cancer Cell,C1qb,Lrp1,Cancer Cell,2,0.4,0.28366556,1.4183278,0.4059035529902097,0.6307334561897207,2,0.4,0.19375896,0.9687948,1.0,1.0,0.05496274389341759,0.4059035529902097,1.37406859733544,0.6307334561897207
Endothelial Cells,C1qb,Lrp1,Cancer Cell,1,0.5,0.4151840999999999,0.8303681999999999,0.5940964470097904,0.3692665438102793,2,0.4,0.19375896,0.9687948,1.0,1.0,0.08044563942453598,0.5940964470097904,0.8044563942453599,0.3692665438102793
Neutrophils,Il1a,Il1rap,Neutrophils,1,0.3333333333333333,1.114199666666667,3.342599,1.0,1.0,1,0.3333333333333333,0.4407443333333333,1.322233,1.0,1.0,0.4910771892852223,1.0,4.419694703567,1.0
Neutrophils,Il1a,Il1r2,Cancer Cell,1,0.3333333333333333,1.114199666666667,3.342599,1.0,1.0,1,0.2,0.1694748116240716,0.8473740581203578,0.09038796240123957,0.1420847688396228,0.1888287786199367,0.09038796240123957,2.83243167929905,0.1420847688396228
Neutrophils,Il1a,Il1r2,Neutrophils,1,0.3333333333333333,1.114199666666667,3.342599,1.0,1.0,2,0.6666666666666666,1.70549622568905,5.116488677067149,0.9096120375987604,0.8579152311603772,1.900263326163997,0.9096120375987604,17.10236993547598,0.8579152311603772
Cancer Cell,Il1b,Il1rap,Neutrophils,1,0.2,0.6640714,3.320357,0.1091510492756056,0.1732523465002891,1,0.3333333333333333,0.4407443333333333,1.322233,1.0,1.0,0.2926857064787333,0.1091510492756056,4.390285597181,0.1732523465002891
Endothelial Cells,Il1b,Il1rap,Neutrophils,1,0.5,0.4151840999999999,0.8303681999999999,0.06824233080591631,0.04332764190995768,1,0.3333333333333333,0.4407443333333333,1.322233,1.0,1.0,0.1829900393651,0.06824233080591631,1.0979402361906,0.04332764190995768
Neutrophils,Il1b,Il1rap,Neutrophils,3,1.0,5.004711666666666,15.014135,0.8226066199184782,0.7834200115897532,1,0.3333333333333333,0.4407443333333333,1.322233,1.0,1.0,2.205798307050555,0.8226066199184782,19.852184763455,0.7834200115897532
Cancer Cell,Il1b,Il1r2,Cancer Cell,1,0.2,0.6640714,3.320357,0.1091510492756056,0.1732523465002891,1,0.2,0.1694748116240716,0.8473740581203578,0.09038796240123957,0.1420847688396228,0.1125433754199335,0.009865940937979288,2.813584385498337,0.02461651960341582
Cancer Cell,Il1b,Il1r2,Neutrophils,1,0.2,0.6640714,3.320357,0.1091510492756056,0.1732523465002891,2,0.6666666666666666,1.70549622568905,5.116488677067149,0.9096120375987604,0.8579152311603772,1.132571266288043,0.09928510833762633,16.98856899432065,0.1486358268968733
Endothelial Cells,Il1b,Il1r2,Cancer Cell,1,0.5,0.4151840999999999,0.8303681999999999,0.06824233080591631,0.04332764190995768,1,0.2,0.1694748116240716,0.8473740581203578,0.09038796240123957,0.1420847688396228,0.07036324713680969,0.006168285231058116,0.7036324713680968,0.006156197985142292
Endothelial Cells,Il1b,Il1r2,Neutrophils,1,0.5,0.4151840999999999,0.8303681999999999,0.06824233080591631,0.04332764190995768,2,0.6666666666666666,1.70549622568905,5.116488677067149,0.9096120375987604,0.8579152311603772,0.7080949155161049,0.06207404557485819,4.248569493096629,0.03717144392481539
Neutrophils,Il1b,Il1r2,Cancer Cell,3,1.0,5.004711666666666,15.014135,0.8226066199184782,0.7834200115897532,1,0.2,0.1694748116240716,0.8473740581203578,0.09038796240123957,0.1420847688396228,0.8481725669411265,0.07435373623220218,12.7225885041169,0.1113120512510647
Neutrophils,Il1b,Il1r2,Neutrophils,3,1.0,5.004711666666666,15.014135,0.8226066199184782,0.7834200115897532,2,0.6666666666666666,1.70549622568905,5.116488677067149,0.9096120375987604,0.8579152311603772,8.535516858161953,0.748252883686276,76.81965172345758,0.6721079603386885
Cancer Cell,Cd14,Itgb1,Cancer Cell,2,0.4,0.42525312,2.1262656,0.08920212441004215,0.1403253290439008,5,1.0,1.05307504,5.2653752,0.5704933045923432,0.7685523266267312,0.4478234463541247,0.05088921473134226,11.19558615885312,0.1078473581213516
Cancer Cell,Cd14,Itgb1,Endothelial Cells,2,0.4,0.42525312,2.1262656,0.08920212441004215,0.1403253290439008,1,0.5,0.7928275,1.585655,0.4295066954076568,0.2314476733732687,0.3371523679968,0.03831290967869988,3.371523679968,0.03247797092254921
