Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Ligand detection rate,Ligand average expression value,Ligand derived specificity of average expression value,Receptor detection rate,Receptor average expression value,Receptor derived specificity of average expression value,Edge average expression weight,Edge average expression derived specificity
Neutrophils,Col1a2,Cd44,Cancer Cell,0.3333333333333333,0.4407443333333333,1.0,0.6,0.51319096,0.3638429170291098,0.2261860075378933,0.3638429170291098
Neutrophils,Col1a2,Cd44,Neutrophils,0.3333333333333333,0.4407443333333333,1.0,0.3333333333333333,0.8972830000000002,0.6361570829708902,0.3954723976463334,0.6361570829708902
Neutrophils,Col1a2,Cd93,Endothelial Cells,0.3333333333333333,0.4407443333333333,1.0,1.0,1.6496689999999998,1.0,0.7270822636256666,1.0
Neutrophils,Col1a2,Itgb1,Cancer Cell,0.3333333333333333,0.4407443333333333,1.0,1.0,1.05307504,0.5704933045923432,0.4641368564547733,0.5704933045923432
Neutrophils,Col1a2,Itgb1,Endothelial Cells,0.3333333333333333,0.4407443333333333,1.0,0.5,0.7928275,0.4295066954076568,0.3494342279358333,0.4295066954076568
Cancer Cell,Gpi1,Amfr,Cancer Cell,0.8,1.3840356000000003,0.4941254082067669,0.4,0.46538214,0.5285032730757427,0.6441054493641841,0.2611468955471637
Cancer Cell,Gpi1,Amfr,Endothelial Cells,0.8,1.3840356000000003,0.4941254082067669,0.5,0.4151840999999999,0.4714967269242573,0.5746295749539599,0.2329785126596031
Endothelial Cells,Gpi1,Amfr,Cancer Cell,0.5,0.7928275,0.2830535660174134,0.4,0.46538214,0.5285032730757427,0.36896775860084996,0.1495947360959638
Endothelial Cells,Gpi1,Amfr,Endothelial Cells,0.5,0.7928275,0.2830535660174134,0.5,0.4151840999999999,0.4714967269242573,0.32916937204275,0.1334588299214496
Neutrophils,Gpi1,Amfr,Cancer Cell,0.3333333333333333,0.6241173333333333,0.2228210257758197,0.4,0.46538214,0.5285032730757427,0.29045306019776,0.1177616414326151
Neutrophils,Gpi1,Amfr,Endothelial Cells,0.3333333333333333,0.6241173333333333,0.2228210257758197,0.5,0.4151840999999999,0.4714967269242573,0.2591235933343999,0.1050593843432045
Cancer Cell,Icam1,Itgam,Neutrophils,0.6,0.29945814,0.1919479425434222,0.3333333333333333,0.6217996666666669,1.0,0.18620297163261998,0.1919479425434222
Endothelial Cells,Icam1,Itgam,Neutrophils,0.5,0.638843,0.4094882825969181,0.3333333333333333,0.6217996666666669,1.0,0.3972323644523335,0.4094882825969181
Neutrophils,Icam1,Itgam,Neutrophils,0.3333333333333333,0.6217996666666669,0.3985637748596596,0.3333333333333333,0.6217996666666669,1.0,0.38663482546677796,0.3985637748596596
Cancer Cell,Jag1,Notch3,Cancer Cell,0.4,0.449238,0.5047718175679142,0.4,0.3124028799999999,1.0,0.14034324500544001,0.5047718175679142
Neutrophils,Jag1,Notch3,Cancer Cell,0.3333333333333333,0.4407443333333333,0.4952281824320858,0.4,0.3124028799999999,1.0,0.1376897990770133,0.4952281824320858
Cancer Cell,Jag1,Notch2,Cancer Cell,0.4,0.449238,0.5047718175679142,1.0,1.1443108999999998,0.7219375551939231,0.5140679400942,0.364413731905773
Cancer Cell,Jag1,Notch2,Neutrophils,0.4,0.449238,0.5047718175679142,0.3333333333333333,0.4407443333333333,0.2780624448060769,0.197999102818,0.1403580856621413
Neutrophils,Jag1,Notch2,Cancer Cell,0.3333333333333333,0.4407443333333333,0.4952281824320858,1.0,1.1443108999999998,0.7219375551939231,0.5043485447465667,0.3575238232881501
Neutrophils,Jag1,Notch2,Neutrophils,0.3333333333333333,0.4407443333333333,0.4952281824320858,0.3333333333333333,0.4407443333333333,0.2780624448060769,0.1942555673654445,0.1377043591439356
Cancer Cell,Jag1,Notch1,Neutrophils,0.4,0.449238,0.5047718175679142,0.3333333333333333,0.4407443333333333,0.7893168634837427,0.197999102818,0.3984249078176941
Neutrophils,Jag1,Notch1,Neutrophils,0.3333333333333333,0.4407443333333333,0.4952281824320858,0.3333333333333333,0.4407443333333333,0.7893168634837427,0.1942555673654445,0.3908919556660487
Endothelial Cells,Pros1,Axl,Cancer Cell,0.5,0.4151840999999999,1.0,0.4,0.32197044,1.0,0.133677007358004,1.0
Cancer Cell,C1qb,Lrp1,Cancer Cell,0.4,0.28366556,0.4059035529902097,0.4,0.19375896,1.0,0.054962743893417584,0.4059035529902097
Endothelial Cells,C1qb,Lrp1,Cancer Cell,0.5,0.4151840999999999,0.5940964470097904,0.4,0.19375896,1.0,0.08044563942453598,0.5940964470097904
