UniProt ID,Symbol
Q03288,a
Q61838,Pzp
P00520,Abl1
Q4JIM5,Abl2
P51174,Acadl
P45952,Acadm
Q07417,Acads
Q8QZT1,Acat1
Q8CAY6,Acat2
Q5EE38,Acd
P09470,Ace
P21836,Ache
Q61268,Apoc4
P28271,Aco1
Q99KI0,Aco2
Q9D358,Acp1
P24638,Acp2
Q05117,Acp5
P23578,Acr
P04756,Chrna1
Q91X60,Chrna2
Q8R4G9,Chrna3
O70174,Chrna4
Q2MKA5,Chrna5
P09690,Chrnb1
Q9ERK7,Chrnb2
Q8R493,Chrnb4
P02716,Chrnd
P20782,Chrne
P04760,Chrng
P68134,Acta1
P60710,Actb
P68033,Actc1
P63260,Actg1
P62737,Acta2
P37172,Acvr1
P27040,Acvr2b
Q99JW2,Acy1
Q8R3P0,Aspa
P03958,Ada
Q01341,Adcy6
Q9QYC0,Add1
Q9QYB8,Add2
P43883,Plin2
P00329,Adh1
Q64437,Adh7
P28474,Adh5
P55264,Adk
P03953,Cfd
Q01338,Adra2a
P30545,Adra2b
Q01337,Adra2c
P34971,Adrb1
P18762,Adrb2
P25962,Adrb3
Q99MK8,Grk2
Q3UYH7,Grk3
P28650,Adssl1
P46664,Adss
P02772,Afp
A2ASQ1,Agrn
P11859,Agt
P29754,Agtr1a
P29755,Agtr1b
P35374,Agtr2
P50247,Ahcy
Q8K3E5,Ahi1
Q9R0Y5,Ak1
Q9WTP6,Ak2
Q9WUR9,Ak4
P09242,Alpl
P24822,Akp3
P31750,Akt1
Q8VC19,Alas1
P08680,Alas2
P07724,Alb
P05064,Aldoa
Q91Y97,Aldob
P39654,Alox15
P39655,Alox12
P48999,Alox5
Q07456,Ambp
P0DMN7,Amd1
P63277,Amelx
P27106,Amh
Q3V1D3,Ampd1
Q9DBT5,Ampd2
Q91X83,Mat1a
P00687,Amy1
P00688,Amy2a5
P21570,Ang
Q02357,Ank1
Q8C8R3,Ank2
G5E8K5,Ank3
P97429,Anxa4
Q07076,Anxa7
P20108,Prdx3
O54754,Aox1
P04117,Fabp4
Q61315,Apc
Q8R146,Apeh
P28352,Apex1
Q03157,Aplp1
Q06335,Aplp2
Q00623,Apoa1
P09813,Apoa2
P06728,Apoa4
E9Q414,Apob
P34928,Apoc1
Q05020,Apoc2
P33622,Apoc3
P51910,Apod
P08226,Apoe
Q01339,Apoh
P12023,App
P08030,Aprt
P19091,Ar
P04627,Araf
Q9WV31,Arc
P31955,Areg
Q61176,Arg1
P53762,Arnt
P50429,Arsb
P50428,Arsa
P34927,Asgr1
P24721,Asgr2
Q91YI0,Asl
P16460,Ass1
P32261,Serpinc1
Q06507,Atf4
Q8VDN2,Atp1a1
Q6PIE5,Atp1a2
Q6PIC6,Atp1a3
P14094,Atp1b1
P14231,Atp1b2
O55143,Atp2a2
Q6Q477,Atp2b4
Q64436,Atp4a
P50992,Atp4b
Q03265,Atp5a1
P63082,Atp6v0c
Q09143,Slc7a1
P35455,Avp
O88721,Avpr2
P01887,B2m
Q08423,Tff1
Q6P3A8,Bckdhb
P10417,Bcl2
Q64373,Bcl2l1
